BAIRRO,codbairro,codbnum,regiao_adm,codra,ra,rp,cod_rp,ap,area_plane,valor médio em salários mínimos,valor mediano em salários mínimos
Cosme Velho,19,19,BOTAFOGO,4,IV Botafogo,Zona Sul,2.1,Área de Planejamento 2,2,6.215529153,7.257656766
Botafogo,20,20,BOTAFOGO,4,IV Botafogo,Zona Sul,2.1,Área de Planejamento 2,2,8.693164999,9.04370462
Humaitá,21,21,BOTAFOGO,4,IV Botafogo,Zona Sul,2.1,Área de Planejamento 2,2,9.551033828,9.781674917
Urca,22,22,BOTAFOGO,4,IV Botafogo,Zona Sul,2.1,Área de Planejamento 2,2,9.638972183,10.08254538
Leme,23,23,COPACABANA,5,V Copacabana,Zona Sul,2.1,Área de Planejamento 2,2,8.341968441,9.139727723
Copacabana,24,24,COPACABANA,5,V Copacabana,Zona Sul,2.1,Área de Planejamento 2,2,7.591936778,7.834966997
Ipanema,25,25,LAGOA,6,VI Lagoa,Zona Sul,2.1,Área de Planejamento 2,2,12.2014682,12.30005776
Leblon,26,26,LAGOA,6,VI Lagoa,Zona Sul,2.1,Área de Planejamento 2,2,13.33653297,13.35173267
Lagoa,27,27,LAGOA,6,VI Lagoa,Zona Sul,2.1,Área de Planejamento 2,2,14.85350204,14.47660066
Jardim Botânico,28,28,LAGOA,6,VI Lagoa,Zona Sul,2.1,Área de Planejamento 2,2,10.86867669,11.51348185
Gávea,29,29,LAGOA,6,VI Lagoa,Zona Sul,2.1,Área de Planejamento 2,2,9.818516981,10.4014604
Vidigal,30,30,LAGOA,6,VI Lagoa,Zona Sul,2.1,Área de Planejamento 2,2,1.693330583,1.441848185
São Conrado,31,31,LAGOA,6,VI Lagoa,Zona Sul,2.1,Área de Planejamento 2,2,11.47379725,10.9497566
Praça da Bandeira,32,32,TIJUCA,8,VIII Tijuca,Tijuca,2.2,Área de Planejamento 2,2,4.399211829,4.227186469
Tijuca,33,33,TIJUCA,8,VIII Tijuca,Tijuca,2.2,Área de Planejamento 2,2,6.377848747,6.675940594
Alto da Boa Vista,34,34,TIJUCA,8,VIII Tijuca,Tijuca,2.2,Área de Planejamento 2,2,3.370398986,2.260016502
Maracanã,35,35,VILA ISABEL,9,IX Vila Isabel,Tijuca,2.2,Área de Planejamento 2,2,7.134387789,6.86564769
Vila Isabel,36,36,VILA ISABEL,9,IX Vila Isabel,Tijuca,2.2,Área de Planejamento 2,2,4.574712615,4.897879538
Andaraí,37,37,VILA ISABEL,9,IX Vila Isabel,Tijuca,2.2,Área de Planejamento 2,2,4.233036414,4.601089109
Grajaú,38,38,VILA ISABEL,9,IX Vila Isabel,Tijuca,2.2,Área de Planejamento 2,2,5.37343843,5.913985149
Manguinhos,39,39,RAMOS,10,X Ramos,Ramos,3.1,Área de Planejamento 3,3,1.30206179,1.247244224
Bonsucesso,40,40,RAMOS,10,X Ramos,Ramos,3.1,Área de Planejamento 3,3,2.735119954,2.774389439
